freebase_actor_id,CanonicalCategory,Class,Winner
/m/016dql,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/016fjj,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/016fjj,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016fnb,,,False
/m/016ggh,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016ggh,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/016gj9,,,False
/m/016gkf,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016gkf,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/016gkf,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/016gr2,,,False
/m/016hrc,,,False
/m/016hvl,,,False
/m/016hzm,,,False
/m/016j55,,,False
/m/016j68,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016jcm,,,False
/m/016jf0,,,False
/m/016k22,,,False
/m/016k6x,ACTOR IN A LEADING ROLE,Acting,True
/m/016k6x,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016k6x,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016k6x,ACTOR IN A LEADING ROLE,Acting,False
/m/016kb7,ACTOR IN A LEADING ROLE,Acting,True
/m/016khd,ACTOR IN A LEADING ROLE,Acting,True
/m/016khd,ACTOR IN A LEADING ROLE,Acting,False
/m/016khd,ACTOR IN A LEADING ROLE,Acting,False
/m/016khd,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016kjs,,,False
/m/016kkx,ACTOR IN A LEADING ROLE,Acting,False
/m/016ks_,ACTOR IN A LEADING ROLE,Acting,False
/m/016ks_,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016ksk,,,False
/m/016mbz,,,False
/m/016mzj,,,False
/m/016nff,ACTRESS IN A LEADING ROLE,Acting,False
/m/016nff,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/016nhj,,,False
/m/016nrn,,,False
/m/016nws,,,False
/m/016p65,,,False
/m/016pns,,,False
/m/016sm7,,,False
/m/016sp_,,,False
/m/016sqs,,,False
/m/016srn,,,False
/m/016t00,,,False
/m/016tb7,,,False
/m/016tpq,,,False
/m/016vcp,,,False
/m/016vg8,,,False
/m/016vy9,,,False
/m/016vyp,,,False
/m/016wh3,,,False
/m/016wvy,,,False
/m/016wy9,ACTRESS,Acting,False
/m/016xk5,,,False
/m/016xy0,,,False
/m/016ynj,ACTOR,Acting,False
/m/016ynj,ACTOR IN A LEADING ROLE,Acting,True
/m/016ypb,,,False
/m/016yqj,,,False
/m/016yr0,ACTOR IN A LEADING ROLE,Acting,False
/m/016yvw,ACTOR IN A LEADING ROLE,Acting,True
/m/016yvw,ACTOR IN A LEADING ROLE,Acting,False
/m/016yvw,ACTOR IN A LEADING ROLE,Acting,False
/m/016yvw,ACTOR IN A LEADING ROLE,Acting,True
/m/016yvw,ACTOR IN A LEADING ROLE,Acting,True
/m/016yvw,ACTOR IN A LEADING ROLE,Acting,False
/m/016ywr,ACTOR IN A LEADING ROLE,Acting,True
/m/016yx_,,,False
/m/016yzz,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016z1t,,,False
/m/016z2j,ACTOR IN A LEADING ROLE,Acting,False
/m/016z2j,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016z2j,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/016z51,,,False
/m/016z68,ACTOR IN A LEADING ROLE,Acting,False
/m/016zdd,,,False
/m/016zp5,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0170pk,ACTOR IN A LEADING ROLE,Acting,True
/m/0170pk,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0170pk,ACTOR IN A LEADING ROLE,Acting,False
/m/0170pk,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0170qf,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0170qf,ACTOR IN A LEADING ROLE,Acting,False
/m/0170s4,ACTOR IN A LEADING ROLE,Acting,False
/m/0170s4,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0170s4,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0170vn,ACTOR IN A LEADING ROLE,Acting,False
/m/01713c,ACTOR IN A LEADING ROLE,Acting,False
/m/01713c,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/01713c,ACTOR IN A LEADING ROLE,Acting,False
/m/01713c,ACTOR IN A LEADING ROLE,Acting,False
/m/017149,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/017149,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/017149,ACTOR IN A LEADING ROLE,Acting,False
/m/017149,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0171cm,ACTOR IN A LEADING ROLE,Acting,False
/m/0171cm,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01722j,,,False
/m/0173jd,ACTRESS,Acting,False
/m/0173lp,ACTRESS,Acting,False
/m/0173lp,ACTRESS,Acting,False
/m/0173lp,ACTRESS,Acting,False
/m/0173vx,ACTRESS,Acting,False
/m/0173w7,,,False
/m/01742l,ACTRESS,Acting,False
/m/0175m_,,,False
/m/0175wg,,,False
/m/0177s6,,,False
/m/0179n7,,,False
/m/017_65,,,False
/m/017_72,,,False
/m/017__g,,,False
/m/017b5l,,,False
/m/017d3v,,,False
/m/017dpj,,,False
/m/017dzj,,,False
/m/017khj,,,False
/m/017lqp,,,False
/m/017m2y,,,False
/m/017n41,ACTRESS,Acting,False
/m/017r13,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/017r13,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/017tk3,,,False
/m/017tkv,ACTRESS,Acting,False
/m/017vbn,,,False
/m/017vfn,,,False
/m/017yxq,,,False
/m/017zng,,,False
/m/018009,,,False
/m/01806r,,,False
/m/0180tn,,,False
/m/018144,,,False
/m/0183dl,,,False
/m/0183xv,ACTRESS,Acting,False
/m/0183xv,ACTRESS,Acting,False
/m/0183xv,ACTRESS,Acting,False
/m/0183xv,ACTRESS,Acting,False
/m/0183xv,ACTRESS,Acting,False
/m/018436,ACTRESS,Acting,False
/m/018462,ACTRESS,Acting,False
/m/01846t,,,False
/m/018477,ACTRESS,Acting,False
/m/0184cd,ACTRESS,Acting,False
/m/0184dt,,,False
/m/0184jc,,,False
/m/0184xq,,,False
/m/0187y5,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0187zc,,,False
/m/018_lb,ACTRESS IN A LEADING ROLE,Acting,False
/m/018cx_,,,False
/m/018db8,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/018db8,ACTOR IN A LEADING ROLE,Acting,False
/m/018db8,ACTOR IN A LEADING ROLE,Acting,False
/m/018db8,ACTOR IN A LEADING ROLE,Acting,True
/m/018dnt,,,False
/m/018dq3,,,False
/m/018dyl,,,False
/m/018ftv,,,False
/m/018fwv,,,False
/m/018gjx,,,False
/m/018gl5,,,False
/m/018gm,,,False
/m/018gn4,,,False
/m/018gtw,,,False
/m/018hgr,,,False
/m/018hl,,,False
/m/018j3w,,,False
/m/018lb1,ACTRESS IN A LEADING ROLE,Acting,False
/m/018lxn,,,False
/m/018n6m,,,False
/m/018n7d,,,False
/m/018p4y,,,False
/m/018pj3,,,False
/m/018ptf,,,False
/m/018ptv,,,False
/m/018q9b,ACTRESS,Acting,False
/m/018qkz,ACTRESS,Acting,False
/m/018qkz,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/018qkz,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/018qms,ACTRESS,Acting,False
/m/018qms,ACTRESS,Acting,True
/m/018qms,ACTRESS,Acting,False
/m/018qpb,ACTRESS,Acting,False
/m/018qpb,ACTRESS,Acting,False
/m/018qpb,ACTRESS,Acting,False
/m/018qpb,ACTRESS,Acting,False
/m/018qql,,,False
/m/018qr9,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/018qr9,ACTRESS,Acting,False
/m/018qr9,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/018ry5,,,False
/m/018sgr,ACTRESS,Acting,False
/m/018ty9,,,False
/m/018v_q,ACTRESS,Acting,False
/m/018y2s,,,False
/m/018ygt,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/018yh9,,,False
/m/018yhr,,,False
/m/018yj6,,,False
/m/018z_c,ACTRESS IN A LEADING ROLE,Acting,True
/m/018zr8,,,False
/m/01900g,,,False
/m/0191y8,,,False
/m/0191ym,,,False
/m/01933d,ACTRESS,Acting,False
/m/01933d,ACTRESS,Acting,True
/m/01933d,ACTRESS,Acting,False
/m/01933d,ACTRESS,Acting,False
/m/01934k,ACTRESS,Acting,True
/m/01934k,ACTRESS,Acting,False
/m/01938t,ACTRESS,Acting,False
/m/01938t,ACTRESS,Acting,False
/m/01938t,ACTRESS,Acting,False
/m/01938t,ACTRESS,Acting,False
/m/01938t,ACTRESS,Acting,True
/m/01939y,ACTRESS,Acting,False
/m/0193cw,ACTRESS,Acting,False
/m/0194r1,,,False
/m/019697,,,False
/m/01969m,,,False
/m/0196bb,,,False
/m/0196cp,,,False
/m/0196d0,,,False
/m/0196dc,,,False
/m/0196vq,,,False
/m/0197p7,,,False
/m/0197tq,,,False
/m/019803,,,False
/m/019_1h,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/019b79,,,False
/m/019f2f,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/019f2f,ACTRESS,Acting,False
/m/019f2f,ACTRESS,Acting,True
/m/019f2f,ACTRESS IN A LEADING ROLE,Acting,False
/m/019f2f,ACTRESS IN A LEADING ROLE,Acting,False
/m/019f2f,ACTRESS IN A LEADING ROLE,Acting,False
/m/019f9z,,,False
/m/019fnh,,,False
/m/019g40,,,False
/m/019l3m,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/019l3m,ACTRESS,Acting,False
/m/019l42,ACTRESS,Acting,False
/m/019l42,ACTRESS,Acting,False
/m/019l42,ACTRESS,Acting,False
/m/019l68,ACTRESS,Acting,False
/m/019l68,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/019l68,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/019l68,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/019l9q,ACTRESS,Acting,False
/m/019mf_,,,False
/m/019mfn,,,False
/m/019ncn,,,False
/m/019q4l,,,False
/m/019wlg,,,False
/m/019wrj,,,False
/m/019wrw,,,False
/m/019xsq,,,False
/m/019ylp,,,False
/m/019z7q,,,False
/m/019zl1,,,False
/m/01_08w,,,False
/m/01_1ym,,,False
/m/01_2bb,,,False
/m/01_2n6,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01_50v,,,False
/m/01_8rq,,,False
/m/01_8sg,,,False
/m/01__r0,,,False
/m/01_f_5,,,False
/m/01_gty,,,False
/m/01_j1t,,,False
/m/01_k1z,,,False
/m/01_lby,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01_lby,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/01_lby,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01_ly4,,,False
/m/01_m4r,,,False
/m/01_mgj,,,False
/m/01_mxr,,,False
/m/01_nh0,,,False
/m/01_njt,,,False
/m/01_p6t,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01_rch,,,False
/m/01_rh4,,,False
/m/01_rph,,,False
/m/01_rr3,,,False
/m/01_skn,,,False
/m/01_wvf,,,False
/m/01_wwn,,,False
/m/01_x6v,,,False
/m/01_xqj,,,False
/m/01_xr7,,,False
/m/01_xsz,,,False
/m/01_xtx,ACTOR IN A LEADING ROLE,Acting,False
/m/01_xtx,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01_xtx,ACTOR IN A LEADING ROLE,Acting,False
/m/01_xtx,ACTOR IN A LEADING ROLE,Acting,False
/m/01_xtx,ACTOR IN A LEADING ROLE,Acting,False
/m/01_xw2,,,False
/m/01_ytp,,,False
/m/01_ztw,,,False
/m/01b11y,ACTRESS,Acting,True
/m/01b11y,ACTRESS,Acting,False
/m/01b17y,ACTRESS,Acting,False
/m/01b3bp,,,False
/m/01b3x0,,,False
/m/01b4y1,,,False
/m/01b588,,,False
/m/01b8nj,,,False
/m/01b8tj,,,False
/m/01b9db,,,False
/m/01b9z4,,,False
/m/01bbwp,,,False
/m/01bczm,,,False
/m/01bh6y,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01bh6y,ACTRESS,Acting,False
/m/01bj6y,ACTRESS,Acting,True
/m/01bj6y,ACTRESS,Acting,False
/m/01bj6y,ACTRESS,Acting,False
/m/01bj6y,ACTRESS IN A LEADING ROLE,Acting,False
/m/01bjdd,ACTRESS,Acting,False
/m/01bk5v,,,False
/m/01bmlb,,,False
/m/01bpc9,,,False
/m/01bqmx,,,False
/m/01bs1p,,,False
/m/01bwd,,,False
/m/01bxk6,,,False
/m/01c2sl,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01c30r,,,False
/m/01c58j,,,False
